channel_idx,mean_abs_activation
349,0.62881476
690,0.6281435
261,0.6273444
541,0.626294
473,0.62603766
220,0.62553006
204,0.6252524
670,0.62502164
320,0.62501013
511,0.6248925
392,0.6247967
725,0.62459403
396,0.62391263
363,0.6235815
30,0.62356746
125,0.6235123
236,0.6234304
78,0.6229531
249,0.6228547
120,0.6222969
309,0.62223077
340,0.62162733
68,0.6214898
246,0.6214056
585,0.6211373
551,0.62080157
316,0.62058175
296,0.62040854
29,0.6202117
167,0.620183
266,0.6182186
451,0.61805445
315,0.61783075
164,0.6170916
675,0.61688983
199,0.6165619
441,0.6164484
640,0.6164279
746,0.61557484
412,0.6155696
83,0.61488867
404,0.61479753
292,0.61444867
72,0.61424524
231,0.61394274
66,0.6133661
33,0.6126463
113,0.61251646
34,0.6124
229,0.6119364
135,0.611096
709,0.61108243
455,0.6106546
534,0.61064947
429,0.61032915
298,0.6090345
214,0.6085705
286,0.60806614
141,0.6067263
739,0.60665226
77,0.60636693
226,0.60598516
118,0.6051331
682,0.6050748
677,0.60507417
538,0.6044029
523,0.6039811
162,0.6039658
346,0.60354996
145,0.6035389
655,0.6033584
201,0.60330224
676,0.6025354
548,0.6025334
487,0.60249114
150,0.6019787
602,0.6017983
295,0.6011333
85,0.60058445
332,0.60018694
336,0.5996412
388,0.59918517
32,0.5991827
132,0.59918076
482,0.59907544
460,0.598653
424,0.59845144
758,0.59844714
9,0.5978064
46,0.59723777
513,0.59721416
597,0.5970267
617,0.59653527
101,0.5965265
144,0.5956478
767,0.5940913
668,0.5938466
65,0.59368503
569,0.5919477
560,0.5916949
53,0.59156245
641,0.5913953
501,0.59130627
637,0.5902796
227,0.59020776
127,0.58995616
74,0.58991396
745,0.58989006
578,0.5893997
303,0.58912873
311,0.58834946
400,0.5881694
430,0.5879899
528,0.5871767
44,0.5856182
445,0.58485806
235,0.58478045
115,0.5839254
616,0.5837552
419,0.5833094
547,0.5832908
119,0.5830409
623,0.58249396
469,0.5824264
58,0.5819425
333,0.58130914
421,0.58120006
694,0.5805523
420,0.58042145
140,0.58004856
221,0.5799062
533,0.57976425
410,0.5789146
586,0.57875186
687,0.57838863
658,0.5763775
673,0.5760999
165,0.576028
279,0.57437766
160,0.57377654
233,0.57286906
715,0.5726132
94,0.5726063
479,0.5705203
335,0.5698998
405,0.5698847
760,0.5691567
695,0.56856465
659,0.5674824
263,0.5673305
205,0.5669163
302,0.56615996
177,0.5661055
191,0.5659937
384,0.5656015
247,0.5652884
703,0.56528485
317,0.5646413
12,0.56431985
260,0.5626868
740,0.5625059
100,0.5613992
643,0.56132466
413,0.55744964
253,0.557448
255,0.55641276
374,0.55466706
399,0.55386275
277,0.5518356
15,0.54991347
477,0.54730093
108,0.54673326
166,0.54576904
